name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Calvin Kattar,"5' 11""","72""",Orthodox,"Mar 26, 1988",http://ufcstats.com/fighter-details/751de04455cfaac0,5.19,41.0,7.64,52.0,0.51,29.0,89.0,0.1,10.0
Giga Chikadze,"6' 0""","74""",Orthodox,"Aug 25, 1988",http://ufcstats.com/fighter-details/9560ff14eb3129f7,4.05,42.0,3.35,62.0,0.26,33.0,69.0,0.3,9.0
Jake Collier,"6' 3""","78""",Orthodox,"Oct 25, 1988",http://ufcstats.com/fighter-details/92fa1401b7927da3,5.59,42.0,4.43,52.0,0.62,26.0,67.0,0.5,10.0
Chase Sherman,"6' 4""","78""",Orthodox,"Nov 16, 1989",http://ufcstats.com/fighter-details/01b352b6a9074d5c,6.19,45.0,6.37,51.0,0.0,0.0,77.0,0.0,11.0
Brandon Royval,"5' 9""","68""",Southpaw,"Aug 16, 1992",http://ufcstats.com/fighter-details/6e15f63b6c2e2c15,3.16,36.0,2.57,48.0,0.73,100.0,39.0,2.2,5.0
Rogerio Bontorin,"5' 5""","67""",Orthodox,"Apr 25, 1992",http://ufcstats.com/fighter-details/07a2bdaa0afdd831,2.63,52.0,3.27,50.0,2.9,60.0,51.0,1.0,7.0
Katlyn Chookagian,"5' 9""","68""",Orthodox,"Dec 28, 1988",http://ufcstats.com/fighter-details/e872e9a9a902c045,4.59,35.0,4.3,62.0,0.31,16.0,55.0,0.4,14.0
Jennifer Maia,"5' 4""","64""",Orthodox,"Oct 06, 1988",http://ufcstats.com/fighter-details/8e1f36476ef02a6a,3.76,37.0,4.08,56.0,0.25,33.0,56.0,0.1,8.0
Viacheslav Borshchev,"5' 11""","69""",Orthodox,"Jan 08, 1992",http://ufcstats.com/fighter-details/19c591115a58982c,6.16,64.0,5.08,56.0,0.0,0.0,33.0,0.0,2.0
Dakota Bush,"5' 10""","73""",Orthodox,"Jun 09, 1994",http://ufcstats.com/fighter-details/3033c1c080672475,2.77,38.0,4.42,41.0,2.4,33.0,0.0,0.0,2.0
Bill Algeo,"6' 0""","73""",Switch,"Jun 09, 1989",http://ufcstats.com/fighter-details/9abc648e76c4493a,5.88,53.0,4.43,43.0,0.8,44.0,55.0,0.0,5.0
Joanderson Brito,"5' 8""","72""",Orthodox,"Feb 11, 1995",http://ufcstats.com/fighter-details/791c8437b341fba5,3.33,47.0,3.13,50.0,2.98,62.0,0.0,0.0,2.0
Jamie Pickett,"6' 2""","80""",Orthodox,"Aug 29, 1988",http://ufcstats.com/fighter-details/830f60497fab345a,3.02,50.0,4.17,46.0,1.68,50.0,68.0,0.2,7.0
Joseph Holmes,"6' 4""","80""",Orthodox,"Jul 04, 1995",http://ufcstats.com/fighter-details/8d20d76af3f213ce,2.77,48.0,2.99,59.0,1.32,28.0,60.0,0.7,2.0
Court McGee,"5' 11""","75""",Orthodox,"Dec 12, 1984",http://ufcstats.com/fighter-details/523fa774700d7d3f,4.69,37.0,3.69,60.0,1.87,25.0,69.0,0.5,19.0
Ramiz Brahimaj,"5' 10""","72""",Orthodox,"Nov 17, 1992",http://ufcstats.com/fighter-details/3d074044a33825e7,2.64,41.0,4.36,50.0,1.52,60.0,58.0,1.0,3.0
Brian Kelleher,"5' 6""","66""",Switch,"Aug 19, 1986",http://ufcstats.com/fighter-details/7be14eaed4c74856,3.49,41.0,4.63,55.0,1.87,42.0,60.0,0.8,13.0
Kevin Croom,"5' 11""","73""",Orthodox,"Jul 15, 1987",http://ufcstats.com/fighter-details/35b3772629e27a49,2.65,35.0,2.88,41.0,0.49,5.0,30.0,0.5,3.0
TJ Brown,"5' 9""","72""",Switch,"May 22, 1990",http://ufcstats.com/fighter-details/d31cbcdd7d69536d,3.87,43.0,2.82,53.0,4.5,62.0,36.0,1.1,5.0
Charles Rosa,"5' 9""","69""",Switch,"Aug 24, 1986",http://ufcstats.com/fighter-details/40093d1d2d78394e,3.05,36.0,3.62,48.0,1.64,37.0,38.0,1.0,12.0
Derrick Lewis,"6' 3""","79""",Orthodox,"Feb 07, 1985",http://ufcstats.com/fighter-details/d3df1add9d9a7efb,2.52,50.0,2.48,41.0,0.48,25.0,55.0,0.0,23.0
Chris Daukaus,"6' 3""","76""",Orthodox,"Sep 25, 1989",http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45,7.71,53.0,3.51,61.0,0.0,0.0,100.0,0.0,5.0
Belal Muhammad,"5' 11""","72""",Orthodox,"Jul 09, 1988",http://ufcstats.com/fighter-details/b1b0729d27936f2f,4.55,43.0,3.61,59.0,2.2,33.0,91.0,0.2,15.0
Stephen Thompson,"6' 0""","75""",Orthodox,"Feb 11, 1983",http://ufcstats.com/fighter-details/4a28cb716c19157a,3.9,43.0,2.81,56.0,0.29,41.0,63.0,0.0,18.0
